Date,Material_Name,Quantity_Consumed,Lead_Time,Sales_Volume,Vendor_Name,Location,Month,Year
2023-01-01,TMT_Steel,207,12,207,Vendor_A,Ghaziabad,1,2023
2023-01-01,Cement,148,14,144,Vendor_B,Ghaziabad,1,2023
2023-01-01,Sand,104,10,96,Vendor_C,Delhi,1,2023
2023-01-02,TMT_Steel,215,12,206,Vendor_B,Ghaziabad,1,2023
2023-01-02,Cement,143,14,133,Vendor_A,Delhi,1,2023
2023-01-02,Sand,108,13,109,Vendor_A,Noida,1,2023
2023-01-03,TMT_Steel,213,7,212,Vendor_C,Delhi,1,2023
2023-01-03,Cement,128,11,129,Vendor_B,Noida,1,2023
2023-01-03,Sand,100,7,94,Vendor_A,Ghaziabad,1,2023
2023-01-04,TMT_Steel,206,9,202,Vendor_C,Delhi,1,2023
2023-01-04,Cement,146,6,149,Vendor_C,Ghaziabad,1,2023
2023-01-04,Sand,100,14,98,Vendor_A,Noida,1,2023
2023-01-05,TMT_Steel,206,11,210,Vendor_A,Noida,1,2023
2023-01-05,Cement,142,12,143,Vendor_B,Delhi,1,2023
2023-01-05,Sand,114,10,105,Vendor_B,Noida,1,2023
2023-01-06,TMT_Steel,183,8,182,Vendor_C,Ghaziabad,1,2023
2023-01-06,Cement,155,12,160,Vendor_B,Delhi,1,2023
2023-01-06,Sand,115,11,118,Vendor_C,Delhi,1,2023
2023-01-07,TMT_Steel,210,6,215,Vendor_C,Noida,1,2023
2023-01-07,Cement,152,9,156,Vendor_B,Ghaziabad,1,2023
2023-01-07,Sand,109,13,111,Vendor_B,Delhi,1,2023
2023-01-08,TMT_Steel,204,5,208,Vendor_B,Noida,1,2023
2023-01-08,Cement,152,12,142,Vendor_B,Ghaziabad,1,2023
2023-01-08,Sand,98,7,98,Vendor_A,Noida,1,2023
2023-01-09,TMT_Steel,218,9,208,Vendor_A,Ghaziabad,1,2023
2023-01-09,Cement,167,11,166,Vendor_B,Ghaziabad,1,2023
2023-01-09,Sand,113,12,111,Vendor_C,Ghaziabad,1,2023
2023-01-10,TMT_Steel,207,6,208,Vendor_C,Delhi,1,2023
2023-01-10,Cement,149,7,143,Vendor_B,Noida,1,2023
2023-01-10,Sand,91,12,92,Vendor_B,Noida,1,2023
2023-01-11,TMT_Steel,210,9,202,Vendor_A,Ghaziabad,1,2023
2023-01-11,Cement,128,7,132,Vendor_A,Noida,1,2023
2023-01-11,Sand,109,11,112,Vendor_A,Ghaziabad,1,2023
2023-01-12,TMT_Steel,227,14,225,Vendor_B,Noida,1,2023
2023-01-12,Cement,155,8,164,Vendor_A,Delhi,1,2023
2023-01-12,Sand,99,11,93,Vendor_C,Noida,1,2023
2023-01-13,TMT_Steel,217,11,210,Vendor_A,Delhi,1,2023
2023-01-13,Cement,188,10,196,Vendor_B,Noida,1,2023
2023-01-13,Sand,108,8,103,Vendor_C,Ghaziabad,1,2023
2023-01-14,TMT_Steel,218,14,218,Vendor_A,Noida,1,2023
2023-01-14,Cement,149,5,139,Vendor_C,Delhi,1,2023
2023-01-14,Sand,91,13,100,Vendor_A,Delhi,1,2023
2023-01-15,TMT_Steel,192,9,190,Vendor_C,Ghaziabad,1,2023
2023-01-15,Cement,147,7,137,Vendor_B,Ghaziabad,1,2023
2023-01-15,Sand,91,8,89,Vendor_B,Noida,1,2023
2023-01-16,TMT_Steel,193,5,199,Vendor_A,Ghaziabad,1,2023
2023-01-16,Cement,142,6,138,Vendor_A,Ghaziabad,1,2023
2023-01-16,Sand,93,5,85,Vendor_A,Ghaziabad,1,2023
2023-01-17,TMT_Steel,199,5,189,Vendor_B,Noida,1,2023
2023-01-17,Cement,154,6,162,Vendor_C,Noida,1,2023
2023-01-17,Sand,68,11,63,Vendor_B,Delhi,1,2023
2023-01-18,TMT_Steel,228,11,221,Vendor_A,Noida,1,2023
2023-01-18,Cement,144,12,139,Vendor_C,Ghaziabad,1,2023
2023-01-18,Sand,117,8,111,Vendor_B,Noida,1,2023
2023-01-19,TMT_Steel,205,5,210,Vendor_A,Ghaziabad,1,2023
2023-01-19,Cement,159,10,157,Vendor_B,Delhi,1,2023
2023-01-19,Sand,118,7,111,Vendor_B,Ghaziabad,1,2023
2023-01-20,TMT_Steel,213,7,205,Vendor_C,Delhi,1,2023
2023-01-20,Cement,145,5,143,Vendor_B,Delhi,1,2023
2023-01-20,Sand,102,11,99,Vendor_A,Delhi,1,2023
2023-01-21,TMT_Steel,195,7,194,Vendor_C,Noida,1,2023
