Date,Quantity_Consumed,Lead_Time,Sales_Volume,Month,Year,lag_7,lag_14,lag_30,rolling_7,rolling_30,month,dayofweek,Material_Name_Sand,Material_Name_TMT_Steel,Vendor_Name_Vendor_B,Vendor_Name_Vendor_C,Location_Ghaziabad,Location_Noida
2023-01-31,146.0,14,148,1,2023,160.0,154.0,148.0,153.71428571428572,151.86666666666667,1,1,False,False,False,False,False,True
2023-02-01,162.0,13,170,2,2023,157.0,144.0,143.0,154.42857142857142,152.5,2,2,False,False,False,True,False,True
2023-02-02,167.0,9,168,2,2023,158.0,159.0,128.0,155.71428571428572,153.8,2,3,False,False,True,False,True,False
2023-02-03,141.0,14,135,2,2023,146.0,145.0,146.0,155.0,153.63333333333333,2,4,False,False,True,False,True,False
2023-02-04,156.0,9,153,2,2023,157.0,152.0,142.0,154.85714285714286,154.1,2,5,False,False,False,True,False,False
2023-02-05,180.0,9,183,2,2023,147.0,161.0,155.0,159.57142857142858,154.93333333333334,2,6,False,False,True,False,True,False
2023-02-06,170.0,11,164,2,2023,165.0,162.0,152.0,160.28571428571428,155.53333333333333,2,0,False,False,True,False,True,False
2023-02-07,209.0,8,211,2,2023,146.0,160.0,152.0,169.28571428571428,157.43333333333334,2,1,False,False,False,True,False,True
2023-02-08,176.0,6,177,2,2023,162.0,157.0,167.0,171.28571428571428,157.73333333333332,2,2,False,False,False,False,False,False
2023-02-09,170.0,6,170,2,2023,167.0,158.0,149.0,171.71428571428572,158.43333333333334,2,3,False,False,False,True,False,False
2023-02-10,166.0,14,165,2,2023,141.0,146.0,128.0,175.28571428571428,159.7,2,4,False,False,False,True,True,False
2023-02-11,175.0,14,168,2,2023,156.0,157.0,155.0,178.0,160.36666666666667,2,5,False,False,False,False,False,True
2023-02-12,188.0,5,195,2,2023,180.0,147.0,188.0,179.14285714285714,160.36666666666667,2,6,False,False,False,False,False,True
2023-02-13,157.0,5,163,2,2023,170.0,165.0,149.0,177.28571428571428,160.63333333333333,2,0,False,False,True,False,True,False
2023-02-14,159.0,13,160,2,2023,209.0,146.0,147.0,170.14285714285714,161.03333333333333,2,1,False,False,True,False,True,False
2023-02-15,151.0,13,143,2,2023,176.0,162.0,142.0,166.57142857142858,161.33333333333334,2,2,False,False,False,True,False,False
2023-02-16,174.0,14,173,2,2023,170.0,167.0,154.0,167.14285714285714,162.0,2,3,False,False,False,True,False,False
2023-02-17,166.0,11,161,2,2023,166.0,141.0,144.0,167.14285714285714,162.73333333333332,2,4,False,False,True,False,False,True
2023-02-18,168.0,12,176,2,2023,175.0,156.0,159.0,166.14285714285714,163.03333333333333,2,5,False,False,True,False,False,False
2023-02-19,139.0,10,147,2,2023,188.0,180.0,145.0,159.14285714285714,162.83333333333334,2,6,False,False,True,False,True,False
2023-02-20,165.0,11,163,2,2023,157.0,170.0,152.0,160.28571428571428,163.26666666666668,2,0,False,False,False,False,True,False
2023-02-21,185.0,9,187,2,2023,159.0,209.0,161.0,164.0,164.06666666666666,2,1,False,False,False,True,True,False
2023-02-22,149.0,5,155,2,2023,151.0,176.0,162.0,163.71428571428572,163.63333333333333,2,2,False,False,False,True,True,False
2023-02-23,198.0,14,195,2,2023,174.0,170.0,160.0,167.14285714285714,164.9,2,3,False,False,True,False,False,False
2023-02-24,157.0,10,150,2,2023,166.0,166.0,157.0,165.85714285714286,164.9,2,4,False,False,True,False,False,True
2023-02-25,191.0,14,182,2,2023,168.0,175.0,158.0,169.14285714285714,166.0,2,5,False,False,False,True,True,False
2023-02-26,162.0,5,166,2,2023,139.0,188.0,146.0,172.42857142857142,166.53333333333333,2,6,False,False,True,False,False,False
2023-02-27,142.0,11,147,2,2023,165.0,157.0,157.0,169.14285714285714,166.03333333333333,2,0,False,False,False,False,False,False
2023-02-28,170.0,9,164,2,2023,185.0,159.0,147.0,167.0,166.8,2,1,False,False,False,False,True,False
2023-03-01,177.0,12,168,3,2023,149.0,151.0,165.0,171.0,167.2,3,2,False,False,False,False,True,False
2023-03-02,163.0,5,164,3,2023,198.0,174.0,146.0,166.0,167.76666666666668,3,3,False,False,True,False,False,False
2023-03-03,189.0,11,197,3,2023,157.0,166.0,162.0,170.57142857142858,168.66666666666666,3,4,False,False,False,True,False,False
2023-03-04,141.0,8,132,3,2023,191.0,168.0,167.0,163.42857142857142,167.8,3,5,False,False,False,True,True,False
2023-03-05,182.0,12,181,3,2023,162.0,139.0,141.0,166.28571428571428,169.16666666666666,3,6,False,False,False,False,False,False
2023-03-06,160.0,13,164,3,2023,142.0,165.0,156.0,168.85714285714286,169.3,3,0,False,False,False,True,False,True
2023-03-07,176.0,7,168,3,2023,170.0,185.0,180.0,169.71428571428572,169.16666666666666,3,1,False,False,True,False,False,True
2023-03-08,160.0,5,155,3,2023,177.0,149.0,170.0,167.28571428571428,168.83333333333334,3,2,False,False,False,False,True,False
2023-03-09,166.0,13,170,3,2023,163.0,198.0,209.0,167.71428571428572,167.4,3,3,False,False,True,False,True,False
2023-03-10,165.0,7,171,3,2023,189.0,157.0,176.0,164.28571428571428,167.03333333333333,3,4,False,False,False,True,True,False
2023-03-11,164.0,11,172,3,2023,141.0,191.0,170.0,167.57142857142858,166.83333333333334,3,5,False,False,True,False,False,True
2023-03-12,185.0,7,180,3,2023,182.0,162.0,166.0,168.0,167.46666666666667,3,6,False,False,False,False,True,False
2023-03-13,145.0,8,147,3,2023,160.0,142.0,175.0,165.85714285714286,166.46666666666667,3,0,False,False,False,False,False,True
2023-03-14,191.0,10,195,3,2023,176.0,170.0,188.0,168.0,166.56666666666666,3,1,False,False,True,False,False,False
2023-03-15,179.0,12,170,3,2023,160.0,177.0,157.0,170.71428571428572,167.3,3,2,False,False,False,True,False,False
2023-03-16,177.0,8,182,3,2023,166.0,163.0,159.0,172.28571428571428,167.9,3,3,False,False,False,True,True,False
2023-03-17,181.0,12,172,3,2023,165.0,189.0,151.0,174.57142857142858,168.9,3,4,False,False,False,False,True,False
2023-03-18,154.0,8,144,3,2023,164.0,141.0,174.0,173.14285714285714,168.23333333333332,3,5,False,False,False,False,False,False
2023-03-19,182.0,6,177,3,2023,185.0,182.0,166.0,172.71428571428572,168.76666666666668,3,6,False,False,False,True,False,False
2023-03-20,160.0,5,158,3,2023,145.0,160.0,168.0,174.85714285714286,168.5,3,0,False,False,False,True,True,False
2023-03-21,176.0,9,183,3,2023,191.0,176.0,139.0,172.71428571428572,169.73333333333332,3,1,False,False,False,True,False,True
2023-03-22,151.0,13,148,3,2023,179.0,160.0,165.0,168.71428571428572,169.26666666666668,3,2,False,False,True,False,False,False
2023-03-23,179.0,13,172,3,2023,177.0,166.0,185.0,169.0,169.06666666666666,3,3,False,False,True,False,False,True
2023-03-24,163.0,7,166,3,2023,181.0,165.0,149.0,166.42857142857142,169.53333333333333,3,4,False,False,True,False,False,False
2023-03-25,180.0,12,177,3,2023,154.0,164.0,198.0,170.14285714285714,168.93333333333334,3,5,False,False,False,False,True,False
2023-03-26,187.0,11,196,3,2023,182.0,185.0,157.0,170.85714285714286,169.93333333333334,3,6,False,False,False,True,True,False
2023-03-27,194.0,8,189,3,2023,160.0,145.0,191.0,175.71428571428572,170.03333333333333,3,0,False,False,False,True,False,True
2023-03-28,207.0,8,211,3,2023,176.0,191.0,162.0,180.14285714285714,171.53333333333333,3,1,False,False,False,False,False,False
2023-03-29,180.0,14,189,3,2023,151.0,179.0,142.0,184.28571428571428,172.8,3,2,False,False,True,False,True,False
2023-03-30,148.0,12,150,3,2023,179.0,177.0,170.0,179.85714285714286,172.06666666666666,3,3,False,False,False,True,False,False
2023-03-31,160.0,10,158,3,2023,163.0,181.0,177.0,179.42857142857142,171.5,3,4,False,False,False,True,False,False
2023-04-01,162.0,10,152,4,2023,180.0,154.0,163.0,176.85714285714286,171.46666666666667,4,5,False,False,False,False,False,True
2023-04-02,154.0,10,154,4,2023,187.0,182.0,189.0,172.14285714285714,170.3,4,6,False,False,False,False,False,True
2023-04-03,157.0,8,153,4,2023,194.0,160.0,141.0,166.85714285714286,170.83333333333334,4,0,False,False,False,False,True,False
2023-04-04,176.0,5,174,4,2023,207.0,176.0,182.0,162.42857142857142,170.63333333333333,4,1,False,False,False,False,True,False
2023-04-05,186.0,5,182,4,2023,180.0,151.0,160.0,163.28571428571428,171.5,4,2,False,False,True,False,True,False
2023-04-06,169.0,7,166,4,2023,148.0,179.0,176.0,166.28571428571428,171.26666666666668,4,3,False,False,False,False,True,False
2023-04-07,192.0,6,198,4,2023,160.0,163.0,160.0,170.85714285714286,172.33333333333334,4,4,False,False,True,False,False,False
2023-04-08,167.0,7,166,4,2023,162.0,180.0,166.0,171.57142857142858,172.36666666666667,4,5,False,False,True,False,False,False
2023-04-09,168.0,5,165,4,2023,154.0,187.0,165.0,173.57142857142858,172.46666666666667,4,6,False,False,True,False,False,True
2023-04-10,177.0,12,181,4,2023,157.0,194.0,164.0,176.42857142857142,172.9,4,0,False,False,False,False,False,True
2023-04-11,155.0,9,164,4,2023,176.0,207.0,185.0,173.42857142857142,171.9,4,1,False,False,False,False,False,True
2023-04-12,144.0,5,135,4,2023,186.0,180.0,145.0,167.42857142857142,171.86666666666667,4,2,False,False,False,True,False,True
2023-04-13,157.0,8,158,4,2023,169.0,148.0,191.0,165.71428571428572,170.73333333333332,4,3,False,False,True,False,True,False
