Date,Material_Filter,Forecast,RF_Pred,XGB_Pred
2025-01-01,ALL,196.49288177490234,197.875,195.1107635498047
2025-01-02,ALL,196.53044738769532,199.1125,193.94839477539062
2025-01-03,ALL,197.04693603515625,197.4375,196.6563720703125
2025-01-04,ALL,196.4162155151367,197.5125,195.31993103027344
2025-01-05,ALL,195.83206329345703,197.23125,194.43287658691406
2025-01-06,ALL,198.3927795410156,198.11875,198.66680908203125
2025-01-07,ALL,200.01602935791016,199.9375,200.0945587158203
2025-01-08,ALL,200.15684204101564,200.1,200.21368408203125
2025-01-09,ALL,199.96109924316406,200.075,199.84719848632812
2025-01-10,ALL,200.0832092285156,199.9625,200.20391845703125
2025-01-11,ALL,200.26546325683594,200.05,200.48092651367188
2025-01-12,ALL,201.34647674560546,200.30625,202.38670349121094
2025-01-13,ALL,202.08733825683595,201.56875,202.60592651367188
2025-01-14,ALL,202.13410034179688,201.89375,202.37445068359375
2025-01-15,ALL,202.3285934448242,202.025,202.63218688964844
2025-01-16,ALL,201.95066528320314,202.1625,201.73883056640625
2025-01-17,ALL,201.9669616699219,202.0375,201.89642333984375
2025-01-18,ALL,204.31551971435547,205.14375,203.48728942871094
2025-01-19,ALL,204.5889114379883,205.14375,204.03407287597656
2025-01-20,ALL,205.33099975585938,206.20625,204.45574951171875
2025-01-21,ALL,205.11378173828126,206.1625,204.0650634765625
2025-01-22,ALL,205.0388626098633,206.20625,203.87147521972656
2025-01-23,ALL,206.11533813476564,205.9125,206.31817626953125
2025-01-24,ALL,205.4743423461914,206.3125,204.6361846923828
2025-01-25,ALL,206.21488189697266,206.125,206.3047637939453
2025-01-26,ALL,204.56219329833985,205.70625,203.4181365966797
2025-01-27,ALL,205.009326171875,206.43125,203.58740234375
2025-01-28,ALL,205.39198150634766,206.39375,204.3902130126953
2025-01-29,ALL,205.6370635986328,206.7625,204.51162719726562
2025-01-30,ALL,205.71571502685546,206.54375,204.88768005371094
2025-01-31,ALL,206.0238067626953,207.3375,204.71011352539062
2025-02-01,ALL,205.5397720336914,206.84375,204.2357940673828
2025-02-02,ALL,204.50125427246093,205.74375,203.25875854492188
2025-02-03,ALL,204.9908432006836,206.51875,203.4629364013672
2025-02-04,ALL,205.14026489257813,206.51875,203.76177978515625
2025-02-05,ALL,204.72442016601562,205.8875,203.56134033203125
2025-02-06,ALL,205.07143859863282,206.1,204.04287719726562
2025-02-07,ALL,205.21256103515626,206.3625,204.0626220703125
2025-02-08,ALL,205.14418182373046,206.2625,204.02586364746094
2025-02-09,ALL,204.33050079345702,205.24375,203.41725158691406
2025-02-10,ALL,204.9068115234375,206.00625,203.807373046875
2025-02-11,ALL,204.6365493774414,205.8,203.4730987548828
2025-02-12,ALL,204.99423217773438,205.9375,204.05096435546875
2025-02-13,ALL,205.09577178955078,205.9375,204.25404357910156
2025-02-14,ALL,205.57859497070314,206.225,204.93218994140625
2025-02-15,ALL,205.16355743408204,206.05,204.27711486816406
2025-02-16,ALL,204.48075256347656,205.2,203.76150512695312
2025-02-17,ALL,205.82464294433595,206.35,205.29928588867188
2025-02-18,ALL,205.49325256347657,206.19375,204.79275512695312
2025-02-19,ALL,205.5912292480469,205.94375,205.23870849609375
2025-02-20,ALL,205.3859420776367,205.79375,204.97813415527344
2025-02-21,ALL,205.50961608886718,206.05625,204.96298217773438
