Date,Material_Filter,Forecast,RF_Pred,XGB_Pred
2025-01-01,Cement,155.00509490966797,153.675,156.33518981933594
2025-01-02,Cement,151.61707611083983,151.8375,151.3966522216797
2025-01-03,Cement,151.12128601074218,151.3875,150.85507202148438
2025-01-04,Cement,152.24515228271486,152.25625,152.2340545654297
2025-01-05,Cement,152.86888122558594,152.28125,153.45651245117188
2025-01-06,Cement,153.12532958984374,152.2625,153.9881591796875
2025-01-07,Cement,154.18231353759765,153.575,154.7896270751953
2025-01-08,Cement,152.8223678588867,153.43125,152.21348571777344
2025-01-09,Cement,152.23252868652344,152.65625,151.80880737304688
2025-01-10,Cement,151.02875671386718,151.075,150.98251342773438
2025-01-11,Cement,153.38196868896483,153.11875,153.6451873779297
2025-01-12,Cement,152.71388244628906,152.9375,152.49026489257812
2025-01-13,Cement,152.72006225585938,153.125,152.31512451171875
2025-01-14,Cement,152.630615234375,153.34375,151.91748046875
2025-01-15,Cement,152.8646987915039,153.26875,152.4606475830078
2025-01-16,Cement,151.36520233154297,151.675,151.05540466308594
2025-01-17,Cement,152.39282684326173,153.19375,151.59190368652344
2025-01-18,Cement,152.3177032470703,152.875,151.76040649414062
2025-01-19,Cement,152.32111358642578,152.78125,151.86097717285156
2025-01-20,Cement,153.7897979736328,153.7125,153.86709594726562
2025-01-21,Cement,153.88274841308595,153.81875,153.94674682617188
2025-01-22,Cement,152.8548843383789,152.8375,152.8722686767578
2025-01-23,Cement,152.7269515991211,153.0,152.4539031982422
2025-01-24,Cement,151.66398010253906,151.7,151.62796020507812
2025-01-25,Cement,151.44908752441407,152.01875,150.87942504882812
2025-01-26,Cement,152.3422653198242,152.86875,151.81578063964844
2025-01-27,Cement,153.573046875,153.775,153.37109375
2025-01-28,Cement,153.58484497070313,153.55,153.61968994140625
2025-01-29,Cement,152.8798843383789,152.8875,152.8722686767578
2025-01-30,Cement,151.95084228515626,151.9875,151.9141845703125
2025-01-31,Cement,151.58160400390625,151.75,151.4132080078125
2025-02-01,Cement,152.1186309814453,152.04375,152.19351196289062
2025-02-02,Cement,152.4071823120117,152.66875,152.14561462402344
2025-02-03,Cement,152.17037353515624,152.41875,151.9219970703125
2025-02-04,Cement,152.06453552246094,152.26875,151.86032104492188
2025-02-05,Cement,151.98080749511718,152.15,151.81161499023438
2025-02-06,Cement,151.3504180908203,151.6875,151.01333618164062
2025-02-07,Cement,151.5081039428711,151.575,151.4412078857422
2025-02-08,Cement,151.5234344482422,151.81875,151.22811889648438
2025-02-09,Cement,152.3446823120117,152.54375,152.14561462402344
2025-02-10,Cement,151.88538970947266,152.26875,151.5020294189453
2025-02-11,Cement,152.01141052246095,152.1625,151.86032104492188
2025-02-12,Cement,152.1407913208008,152.05,152.23158264160156
2025-02-13,Cement,151.58135528564452,151.68125,151.48146057128906
2025-02-14,Cement,151.44635162353515,151.54375,151.3489532470703
2025-02-15,Cement,152.31625366210938,152.53125,152.10125732421875
2025-02-16,Cement,151.40648345947267,151.725,151.0879669189453
2025-02-17,Cement,152.1334457397461,152.1875,152.0793914794922
2025-02-18,Cement,152.0651077270508,152.1125,152.01771545410156
2025-02-19,Cement,151.86593017578124,152.0125,151.7193603515625
2025-02-20,Cement,151.384619140625,151.8,150.96923828125
2025-02-21,Cement,151.44635162353515,151.54375,151.3489532470703
2025-02-22,Cement,151.41168212890625,151.6875,151.1358642578125
2025-02-23,Cement,151.9579299926758,151.8625,152.05335998535156
2025-02-24,Cement,153.0467041015625,152.94375,153.149658203125
2025-02-25,Cement,152.0651077270508,152.1125,152.01771545410156
2025-02-26,Cement,151.88780517578124,152.05625,151.7193603515625
2025-02-27,Cement,151.340869140625,151.7125,150.96923828125
2025-02-28,Cement,151.52760162353516,151.70625,151.3489532470703
2025-03-01,Cement,151.91937866210938,151.7375,152.10125732421875
2025-03-02,Cement,151.93731079101562,151.73125,152.14337158203125
2025-03-03,Cement,152.0286849975586,152.08125,151.9761199951172
2025-03-04,Cement,151.97760772705078,151.9375,152.01771545410156
2025-03-05,Cement,152.01028900146486,151.88125,152.1393280029297
2025-03-06,Cement,151.45710296630858,151.525,151.3892059326172
2025-03-07,Cement,152.07904815673828,151.84375,152.31434631347656
